Nombre,Ciudad_Banco,Codigo_Ciudad_Banco
Idaline,Filderstadt,DE
Bentley,CLEVELAND,US
Aylmar,Wien,AT
Doralia,"Forchheim, Oberfr.",DE
Lilith,HELSINKI,FI
Moira,Grimma,DE
Keelby,FORT OGLETHORPE,US
Jacquelynn,GLENWOOD,US
Eal,NEWARK,US
Cedric,RYE,US
Leif,Möllbrücke,AT
Kristal,MILANO,IT
Lil,CINCINNATI,US
Annora,RICHMOND,US
Madge,Stockholm,SE
Phaedra,SUGAR LAND,US
Colly,MONTEBELLO,US
Hyacinthe,Mainz,DE
Valaria,PITTSBURGH,US
Giff,MILANO,IT
Rina,Lisboa,PT
Astrid,Budapest,HU
Gaspard,CELESTE,US
Dinah,NEW YORK,US
Lilllie,RICHMOND,US
Monika,PARIS 09,FR
Dianna,CINCINNATI,US
Baudoin,Krems an der Donau,AT
Katlin,STARKVILLE,US
Roobbie,COLUMBUS,US
Dahlia,HERMITAGE,US
Gayla,CORTINA D'AMPEZZO,IT
Vannie,ROMA,IT
Rickey,MILANO,IT
Nicol,MONTROUGE CEDEX,FR
Erminia,CARLSBAD,US
Bailie,"Düren, Rheinl",DE
Gerri,HOLLY HILL,US
Prisca,MACON,US
Homer,OMAHA,US
Moritz,BUFFALO,US
Ransom,Stuttgart,DE
Aurelia,LYNN,US
Standford,WATONGA,US
Bertie,COLUMBUS,US
Garrot,NAPERVILLE,US
Kenny,Dublin,IE
Adelle,Vilniaus m. sav. Vilniaus m.,LT
Zebulon,PITTSBURGH,US
Brigham,BIRMINGHAM,US
Consalve,PELL CITY,US
Hughie,LAREDO,US
Mahala,Lisboa,PT
Hardy,PARIS 02,FR
Myranda,RICHMOND,US
Ianthe,FORT COLLINS,US
Zara,Antwerpen,BE
Kylynn,Nickelsdorf an der Leitha,AT
Celka,WISNER,US
Cari,Wien,AT
Kristine,EL MONTE,US
Jaquelyn,CANTON,US
Cad,EL MONTE,US
Bree,MILANO,IT
Candi,HERMITAGE,US
Caroline,NAPERVILLE,US
Gratiana,MILANO,IT
Gavra,BLUEFIELD,US
Karlee,COWETA,US
Roy,Kędzierzyn-Koźle,PL
Julian,Berlin,DE
Hulda,TAMPA,US
Bambi,CARLSBAD,US
Eldin,MIAMI,US
Ramonda,Dublin,IE
Vida,N. CHAS,US
